id,project_a,project_b,weight_a,weight_b,total_amount_usd,funder,quarter
1,https://github.com/prettier-solidity/solidity-comments-extractor,https://github.com/ethers-io/ethers.js,0.018867924528301886,0.9811320754716981,636,clrfund,2023-07
2,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/ethers-io/ethers.js,0.940556478123835,0.05944352187616497,59014,gitcoin,2019-01
3,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/walletconnect/walletconnect-utils,0.9594482472516076,0.0405517527483924,57852,gitcoin,2019-01
4,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/sigp/lighthouse,0.955171998416823,0.04482800158317701,58111,gitcoin,2019-01
5,https://github.com/ethers-io/ethers.js,https://github.com/walletconnect/walletconnect-utils,0.599248377177998,0.40075162282200205,5854,gitcoin,2019-01
6,https://github.com/ethers-io/ethers.js,https://github.com/sigp/lighthouse,0.5738589890397513,0.4261410109602487,6113,gitcoin,2019-01
7,https://github.com/walletconnect/walletconnect-utils,https://github.com/sigp/lighthouse,0.4738436679458695,0.5261563320541305,4951,gitcoin,2019-01
8,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/nomicfoundation/hardhat,0.9939708627459395,0.006029137254060513,46607,gitcoin,2019-04
9,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/ethers-io/ethers.js,0.9585350713842334,0.04146492861576656,48330,gitcoin,2019-04
10,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/walletconnect/walletconnect-utils,0.7804113812098853,0.2195886187901147,59361,gitcoin,2019-04
11,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/sigp/lighthouse,0.9466650318783717,0.0533349681216283,48936,gitcoin,2019-04
12,https://github.com/nomicfoundation/hardhat,https://github.com/ethers-io/ethers.js,0.12297592997811817,0.8770240700218819,2285,gitcoin,2019-04
13,https://github.com/nomicfoundation/hardhat,https://github.com/walletconnect/walletconnect-utils,0.021102433163112045,0.978897566836888,13316,gitcoin,2019-04
14,https://github.com/nomicfoundation/hardhat,https://github.com/sigp/lighthouse,0.09719820131442407,0.902801798685576,2891,gitcoin,2019-04
15,https://github.com/ethers-io/ethers.js,https://github.com/walletconnect/walletconnect-utils,0.13325354079393575,0.8667464592060643,15039,gitcoin,2019-04
16,https://github.com/ethers-io/ethers.js,https://github.com/sigp/lighthouse,0.4343302990897269,0.5656697009102731,4614,gitcoin,2019-04
17,https://github.com/walletconnect/walletconnect-utils,https://github.com/sigp/lighthouse,0.8331735378715245,0.16682646212847552,15645,gitcoin,2019-04
18,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/vyperlang/vyper,0.8447016518709968,0.15529834812900323,53394,gitcoin,2019-07
19,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/ethers-io/ethers.js,0.9350859370140775,0.0649140629859225,48233,gitcoin,2019-07
20,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/walletconnect/walletconnect-utils,0.8533802577056252,0.1466197422943748,52851,gitcoin,2019-07
21,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/sigp/lighthouse,0.7413824278786882,0.25861757212131176,60835,gitcoin,2019-07
22,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/nethermindeth/nethermind,0.998892629340893,0.0011073706591070431,45152,gitcoin,2019-07
23,https://github.com/vyperlang/vyper,https://github.com/ethers-io/ethers.js,0.7259038781405935,0.27409612185940646,11423,gitcoin,2019-07
24,https://github.com/vyperlang/vyper,https://github.com/walletconnect/walletconnect-utils,0.5169253787170376,0.4830746212829624,16041,gitcoin,2019-07
25,https://github.com/vyperlang/vyper,https://github.com/sigp/lighthouse,0.3451404786680541,0.6548595213319459,24025,gitcoin,2019-07
26,https://github.com/vyperlang/vyper,https://github.com/nethermindeth/nethermind,0.9940062335171421,0.005993766482857876,8342,gitcoin,2019-07
27,https://github.com/ethers-io/ethers.js,https://github.com/walletconnect/walletconnect-utils,0.28777573529411765,0.7122242647058823,10880,gitcoin,2019-07
28,https://github.com/ethers-io/ethers.js,https://github.com/sigp/lighthouse,0.16597752332485158,0.8340224766751484,18864,gitcoin,2019-07
29,https://github.com/ethers-io/ethers.js,https://github.com/nethermindeth/nethermind,0.9842816724300535,0.01571832756994651,3181,gitcoin,2019-07
30,https://github.com/walletconnect/walletconnect-utils,https://github.com/sigp/lighthouse,0.3299974448513755,0.6700025551486245,23482,gitcoin,2019-07
31,https://github.com/walletconnect/walletconnect-utils,https://github.com/nethermindeth/nethermind,0.9935889216566226,0.006411078343377397,7799,gitcoin,2019-07
32,https://github.com/sigp/lighthouse,https://github.com/nethermindeth/nethermind,0.996832034467465,0.0031679655325349554,15783,gitcoin,2019-07
33,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/vyperlang/vyper,0.9219802292150762,0.07801977078492384,76173,gitcoin,2019-10
34,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/nomicfoundation/hardhat,0.9968630679479354,0.003136932052064556,70451,gitcoin,2019-10
35,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/ethers-io/ethers.js,0.8053991444856019,0.1946008555143981,87199,gitcoin,2019-10
36,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/walletconnect/walletconnect-utils,0.8460120703986123,0.15398792960138774,83013,gitcoin,2019-10
37,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/sigp/lighthouse,0.8546290887850467,0.14537091121495327,82176,gitcoin,2019-10
38,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/nethermindeth/nethermind,0.9777796341157798,0.02222036588422016,71826,gitcoin,2019-10
39,https://github.com/vyperlang/vyper,https://github.com/nomicfoundation/hardhat,0.9641466580142765,0.03585334198572354,6164,gitcoin,2019-10
40,https://github.com/vyperlang/vyper,https://github.com/ethers-io/ethers.js,0.25938372905027934,0.7406162709497206,22912,gitcoin,2019-10
41,https://github.com/vyperlang/vyper,https://github.com/walletconnect/walletconnect-utils,0.3173662287728292,0.6826337712271708,18726,gitcoin,2019-10
42,https://github.com/vyperlang/vyper,https://github.com/sigp/lighthouse,0.3322153278551065,0.6677846721448935,17889,gitcoin,2019-10
43,https://github.com/vyperlang/vyper,https://github.com/nethermindeth/nethermind,0.7883008356545961,0.21169916434540392,7539,gitcoin,2019-10
44,https://github.com/nomicfoundation/hardhat,https://github.com/ethers-io/ethers.js,0.01285631180919139,0.9871436881908087,17190,gitcoin,2019-10
45,https://github.com/nomicfoundation/hardhat,https://github.com/walletconnect/walletconnect-utils,0.01699477083974162,0.9830052291602583,13004,gitcoin,2019-10
46,https://github.com/nomicfoundation/hardhat,https://github.com/sigp/lighthouse,0.018163885920933674,0.9818361140790663,12167,gitcoin,2019-10
47,https://github.com/nomicfoundation/hardhat,https://github.com/nethermindeth/nethermind,0.12162905888827738,0.8783709411117226,1817,gitcoin,2019-10
48,https://github.com/ethers-io/ethers.js,https://github.com/walletconnect/walletconnect-utils,0.5703482118849152,0.42965178811508475,29752,gitcoin,2019-10
49,https://github.com/ethers-io/ethers.js,https://github.com/sigp/lighthouse,0.5868580321632371,0.41314196783676294,28915,gitcoin,2019-10
50,https://github.com/ethers-io/ethers.js,https://github.com/nethermindeth/nethermind,0.9140317802316187,0.08596821976838132,18565,gitcoin,2019-10
51,https://github.com/walletconnect/walletconnect-utils,https://github.com/sigp/lighthouse,0.5169234502001698,0.48307654979983017,24729,gitcoin,2019-10
52,https://github.com/walletconnect/walletconnect-utils,https://github.com/nethermindeth/nethermind,0.8890047986647194,0.11099520133528062,14379,gitcoin,2019-10
53,https://github.com/sigp/lighthouse,https://github.com/nethermindeth/nethermind,0.8821444395214887,0.11785556047851131,13542,gitcoin,2019-10
54,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/vyperlang/vyper,0.9831522051635904,0.016847794836409635,52173,gitcoin,2020-01
55,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/nomicfoundation/hardhat,0.9934151915404579,0.006584808459542124,51634,gitcoin,2020-01
56,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/wighawag/hardhat-deploy,0.9997466232677802,0.00025337673221981216,51307,gitcoin,2020-01
57,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/ethers-io/ethers.js,0.7742958065392628,0.22570419346073722,66246,gitcoin,2020-01
58,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/walletconnect/walletconnect-utils,0.7844198742946277,0.21558012570537233,65391,gitcoin,2020-01
59,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/sigp/lighthouse,0.8931257835353114,0.10687421646468864,57432,gitcoin,2020-01
60,https://github.com/prysmaticlabs/protoc-gen-go-cast,https://github.com/nethermindeth/nethermind,0.9005583061202992,0.09944169387970081,56958,gitcoin,2020-01
61,https://github.com/vyperlang/vyper,https://github.com/nomicfoundation/hardhat,0.7210828547990156,0.27891714520098443,1219,gitcoin,2020-01
62,https://github.com/vyperlang/vyper,https://github.com/wighawag/hardhat-deploy,0.9854260089686099,0.014573991031390121,892,gitcoin,2020-01
63,https://github.com/vyperlang/vyper,https://github.com/ethers-io/ethers.js,0.05552397195376161,0.9444760280462384,15831,gitcoin,2020-01
64,https://github.com/vyperlang/vyper,https://github.com/walletconnect/walletconnect-utils,0.058693910256410256,0.9413060897435898,14976,gitcoin,2020-01
65,https://github.com/vyperlang/vyper,https://github.com/sigp/lighthouse,0.12526720820863618,0.8747327917913639,7017,gitcoin,2020-01
