url,is_private,has_homepage,size,stars,watchers,has_projects,has_pages,has_wiki,has_discussions,forks,is_archived,is_disabled,open_issues,subscribers_count,created_at,updated_at,is_private_b,has_homepage_b,size_b,stars_b,watchers_b,has_projects_b,has_pages_b,has_wiki_b,has_discussions_b,forks_b,is_archived_b,is_disabled_b,open_issues_b,subscribers_count_b,stars_ratio,watchers_ratio,forks_ratio,size_ratio,commit_count,commit_count_b,commit_count_ratio,commit_decay,commit_decay_b,age_days,days_since_update,age_days_b,days_since_update_b,log_stars,log_watchers,log_forks,log_commit_count,open_issues_count,closed_issues_count,open_prs_count,closed_prs_count,used_by,summary
https://github.com/zloirock/core-js,False,False,62787,24762,24762,False,True,False,True,1660,False,False,40,254,2013-07-17T16:32:27Z,2025-01-25T17:56:45Z,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0.2172657956848672,0.2172657956848672,0.0145651086679944,0.550903299962271,510,1,0.0044548877106244,0.1211113749703158,1,4210,0,1,0,10.117065498980637,10.117065498980637,7.414572881350589,6.234410725718371,33,923,7,365,20022808,"Modular standard library for JavaScript. Includes polyfills for [ECMAScript up to 2024](#ecmascript-promise), [symbols), iterators, [typed arrays), many other features."
https://github.com/sindresorhus/p-cancelable,False,False,59,441,441,False,False,False,False,22,False,False,3,8,2016-11-28T10:27:44Z,2024-10-13T14:59:20Z,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0.4579439252336448,0.4579439252336448,0.0228452751817237,0.0612668743509865,690,1,0.4174228675136116,0.2314659510231466,1,2980,104,1,1,6.089044875446846,6.089044875446846,3.091042453358316,6.536691597591305,3,16,0,20,0,"P-cancelable is a JavaScript function that cancels a promise. It can be used for loading resources, long-running async computations, etc. You can call this function multiple times to add multiple cancel handlers."
https://github.com/fb55/entities,False,False,4549,331,331,False,False,False,False,64,False,False,4,5,2012-01-13T17:02:59Z,2025-01-24T20:41:59Z,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0.0627488151658767,0.0627488151658767,0.0121327014218009,0.8623696682464455,900,1,0.145748987854251,0.1889962200755985,1,4761,1,1,1,5.802118375377063,5.802118375377063,4.158883083359672,6.802394763324311,1,40,3,1668,20928144,Encode & decode HTML & XML entities with ease & speed. Many popular libraries use it to process HTML entities. Get an output tailored to your needs.
https://github.com/paradigmxyz/reth,False,True,88008,4276,4276,True,True,False,True,1355,False,False,307,60,2022-09-15T23:05:57Z,2025-01-25T16:27:57Z,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0.0436705305622223,0.0436705305622223,0.0138385334218454,0.8988204054537099,30,1,0.0003062943488692,0.0347624565469293,1,862,0,1,0,8.360773272144936,8.360773272144936,7.2115567333138015,3.4011973816621555,233,3487,74,10070,0,"Reth is a new full node implementation of the Ethereum protocol. It is designed to be user-friendly, highly modular, and fast. Reth is licensed under the Apache/MIT permissive license."
https://github.com/yarnpkg/yarn,False,True,119826,41478,41478,True,False,False,False,2733,False,False,2068,555,2016-01-19T17:39:16Z,2025-01-25T06:03:31Z,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0.2018246843296109,0.2018246843296109,0.0132982993942048,0.5830523319465732,510,1,0.002475427739352,0.1547799696509863,1,3294,0,1,0,10.63291844517332,10.63291844517332,7.913155185928068,6.234410725718371,1864,4730,204,2142,226487,"This repository holds the sources for Yarn 1.x (latest version at the time of this writing being 1.22). New releases (at this time the 3.2.3, although we're currently working on our next major"
https://github.com/tokio-rs/tokio,False,True,14201,27747,27747,False,False,False,True,2543,False,False,326,314,2016-09-09T22:31:36Z,2025-01-25T20:09:06Z,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0.3841053185304133,0.3841053185304133,0.0352030787120352,0.196586284227138,480,1,0.0066008416073049,0.1568627450980392,1,3059,0,1,0,10.23088300522237,10.23088300522237,7.841099765422119,6.173786103901937,287,2087,39,3965,476562,"Tokio is an event-driven, non-blocking I/O platform for writing asynchronous applications with the Rust programming language. It provides a few major components: A multithreaded, work-stealing based task [sched"
https://github.com/python/typeshed,False,False,25399,4468,4468,True,False,False,False,1788,False,False,263,76,2015-03-05T04:51:28Z,2025-01-25T18:35:30Z,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0.1236885087063643,0.1236885087063643,0.0494975500373723,0.703125432549899,540,1,0.0147287456018329,0.1493775933609958,1,3614,0,1,0,8.404696160189092,8.404696160189092,7.488852955733459,6.29156913955832,190,2520,73,10625,0,"Typeshed contains external type annotations for the Python standard library and Python builtins. This data can e.g. be used for static analysis, type checking, type inference, and autocompletion."
https://github.com/ethereum/remix-project,False,True,251427,2561,2561,True,False,True,False,1066,False,False,796,68,2020-03-20T07:49:48Z,2025-01-25T16:18:07Z,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0.0099411913126176,0.0099411913126176,0.004137957805252,0.9759796595695126,90,1,0.000349236530141,0.0507614213197969,1,1772,0,1,0,7.848153086199526,7.848153086199526,6.97166860472579,4.499809670330265,755,1485,41,3293,0,"Remix Project is a rich toolset including Remix IDE, a smart contract development tool. The Remix Project also includes Remix Plugin Engine and Remix Libraries which are low-level tools for wider use. Supported browsers: Firefox v100.0"
https://github.com/streetsidesoftware/cspell-dicts,False,False,431354,230,230,True,False,True,True,213,False,False,35,6,2017-03-24T14:25:08Z,2025-01-24T18:58:43Z,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0.000532374134024,0.000532374134024,0.0004930247415092,0.9984422269904428,180,1,0.00041646710951,0.06282722513089,1,2864,1,1,1,5.438079308923196,5.438079308923196,5.3612921657094255,5.19295685089021,34,182,1,3776,0,Various dictionaries. Each dictionary is its own package. See `README.md` in each directory. Use `pnpm build:readme` to generate this table.
https://github.com/heim-rs/darwin-libproc,False,True,54,8,8,False,False,False,False,23,False,False,6,2,2019-08-13T12:48:25Z,2025-01-08T20:44:12Z,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.086021505376344,0.086021505376344,0.2473118279569892,0.5806451612903226,14,1,0.1308411214953271,0.0070245860511791,1,1992,17,1,1,2.079441541679836,2.079441541679836,3.1354942159291497,2.6390573296152584,2,1,4,3,0,Rust bindings for `libproc` of macOS. Apache License 2.0 or MIT license at your option. Minimum rustc version of 1.36+.
https://github.com/browserslist/browserslist,False,True,4360,13122,13122,False,True,False,True,720,False,False,42,140,2014-12-13T19:35:45Z,2025-01-25T13:50:10Z,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0.4189120163452943,0.4189120163452943,0.0229855701698378,0.1391903971395734,390,1,0.0122974080847575,0.1054909385988639,1,3696,0,1,0,9.482045489904824,9.482045489904824,6.579251212010101,5.966146739123692,37,486,5,291,29442505,"The config to share target browsers and Node.js versions between different front-end tools. It is used in:Autoprefixer,abel, postcss-preset-env, eslint-plugin-compat"
